70,468660001,WEIDMULLER ETIQUETA PARA CLEMA DEK 6 1-50 HORIZ,AB79
71,473460101,WEIDMULLER ETIQUETA P/CLEMA DEK5 FW 101-150 HOR. 50 PZAS,AB80
72,473560001,WEIDMULLER DEK 5 FS 1-50 VERTICAL ETIQ P/ CLEMA 50 PZA,AB81
73,473560101,WEIDMULLER DEK 5 FS 101-150 VERTICAL ETIQ P/CLEMA 50PZAS,AB82
74,048 80,LEGRAND REPARTIDOR BIPOLAR 100 A,AB83
75,048 82,LEGRAND REPARTIDOR BIPOLAR 125 A,AB84
76,048 84,LEGRAND REPARTIDOR TETRAPOLAR 100 A,AB85
77,048 85,LEGRAND REPARTIDOR TETRAPOLAR 40 A,AB86
78,048 86,LEGRAND REPARTIDOR TETRAPOLAR 125 A 11 CONEXIONES,AB87
79,048 88,LEGRAND REPARTIDOR TETRAPOLAR 125 A 15 CONEXIONES,AB88
80,049 734,LEGRAND INTERRUPTOR HORARIO ANALOGICO 1NA 20A 120VAC S/CAJA,AB89
81,0502-G,GAMMA CLAVIJA TRIPLE BISAGRA MARFIL,AB90
82,518960001,WEIDMULLER ETIQUETA P/CLEMA 50 PZA DEK 6 FW 1-10 HORIZONTAL,AB91
83,518960011,WEIDMULLER ETIQUETA P/CLEMA DEK 6 FW 11-20 HORIZONTAL 50PZ,AB92
84,713107,ELEXCO DETECTOR DE HUMOS KDH-BAT 9V 999990306,AB93
85,072.01.06,FINDER ELECTRODO 6m. s72,AB94
86,072.01.15,FINDER SONDA ELECTRODO C/CABLE 15MTS S72,AB95
87,72.5,FINDER ELECTRODO 500mm,AB96
88,72.501,FINDER EMPALME P/ELECTRODO,AB97
89,72.503,FINDER SEPARADOR DE ELECTRODOS,AB98
90,72.51,FINDER PORTA ELECTRODO BIPOLAR S72,AB99
91,72.53,FINDER PORTAELECTRODOS TRIPOLAR S72,CR23
92,7310003,HUBBELL MALLA SUJETADOR I-GRIP ACER GALV .56-.73,CR24
93,7310004,HUBBELL MALLA SUJETADOR I-GRIP ACER GALV.73-.85,CR25
94,74011247,HUBBELL LIBERADOR DE ESFUERZOS .625-.750 NPT 1/2,CR26
95,74011249,HUBBELL LIBERADOR DE ESFUERZO .750-875 NPT 3/4,CR27
96,77.55,FINDER DISIPADOR DE CALOR P/77.45 Y 77.55,CR28
97,804155,PHOENIX TOMACORRIENTE P/RIEL 15A EO-AB/UT/LED/15,CR29
98,93.01,FINDER SEPARADO PLASTICO S38,CR30
99,93.08,FINDER PUENTE 8 TERMINALES AZUL,CR31
100,093.63.0.024,FINDER PORTAFUSIBLES C/LED 24VDC P/39.31/30/81/80/61/60/91/90,CR32
101,093.63.8.230,FINDER PORTAFUSIBLES C/LED 110-240VAC P/39.31/30/81/80/61/60/91,CR33
102,95.18,FINDER PUENTE 8 TERMINALES S40,CR34
103,09T8LED60MV65C,TECNOLITE TUBO LED 9W 6500K FROST DIM,CR35
104,09T8LED60MV65CT,TECNOLITE TUBO LED 9W 6500K CRISTAL TRASPARENTE,CR36
105,0PLAC-B,LEVITON CIEN PLACA CIEGA BLANCA 0PLAC-B,CR37
106,0PLAC-MAR,LEVITON CIEN PLACA CIEGA MARFIL,CR38
107,0RJ11-00M,LEVITON CIEN MODULO TELEFONICO CAT. 3 MARFIL,CR39
108,0RJ11-B,LEVITON CIEN TOMA TELEFONICA RJ11 BLANCA,CR40
109,0RJ45-BLA,LEVITON CIEN RJ45 CAT. 5 BLANCO,CR41
110,10.32.8.120.0000,FINDER FOTOCELDA 16A ALIM 120VAC 1 UMBRAL,CR42
111,10.32.8.230.0000,FINDER FOTOCELDA 16A ALIM 230VAC 1 UMBRAL,CR43
112,10.41.8.120.0000,FINDER FOTOCELDA 1NA 16A ALIM 120VAC,CR44
113,10.41.8.230.0000,FINDER FOTOCELDA 1NA 16A ALIM 230VAC,CR45
114,10.42.8.120.0000,FINDER FOTOCELDA 16A ALIM 120VAC 2 UMBRALES,CR46
115,10.42.8.230.0000,FINDER FOTOCELDA 16A ALIM 230VAC 2 UMBRALES,CR47
116,10.51.8.120.0000,FINDER FOTOCELDA 1 NA 12/25 A (80 A - 5 ms),CR48
117,100-C30D10,ALLEN-BRADLEY CONTACTOR MAGNETICO 3P 30AMP 120VAC,CR49
118,100-C37D10,ALLEN-BRADLEY CONTACTOR MAGNETICO 3P 37A B-120VAC,CR50
119,100-C60D10,ALLEN-BRADLEY CONTACTOR TRIPOLAR 60 AMPS B-120V,CR51
120,100-C85D10,ALLEN BRADLEY MCS-C CONTACTOR IEC85A 110V 50HZ-120V,CR52
121,100-D95KN11,ALLEN-BRADLEY CONTACTOR 3P 95 AMPS B-120VAC,CR53
122,100-DL180,ALLEN-BRADLEY ZAPATAS P-CONTACTOR 100-D140...100-D,CR54
123,100-DL420,ALLEN-BRADLEY ZAPTAS P-CONTACTOR 100-D210 ... 100-,CR55
124,10000E,SIEMENS TALARI SOPORTE CHASIS PARA PLACA,CR56
125,10003E,SIEMENS TALARI APAGADOR SENCILLO MARFIL,CR57
126,1001,TULMEX PINZA MULTIUSOS TIPO ELECTRICISTA,CR58
127,10013E,SIEMENS TALARI APAGADOR C-LUZ PILOTO MARFIL,CR59
128,1001600,RITTAL GABINETE ACERO INOX AE 300X200X120 C/PLATINA,CR60
129,1002-TUL,TULMEX PINZA MULTIUSOS TODO PROPOSITO,CR61
130,10023E,SIEMENS TALARI APAGADOR ESCALERA MARFIL,CR62
131,1002600,RITTAL GABINETE ACERO INOX AE 300X200X155 C/PLATINA,CR63
132,1002C,TABLEPLAST GABINETE BEIGE C/PLATINA 207X284X120mm,CR64
133,1002R-T,TAMSA PLACA ALUMINIO DORADO 2 UNIDADES,CR65
134,10033E,SIEMENS TALARI APAGADOR DE ESCALERA C-LUZ PILOTO MARFIL,CR66
135,1003600,RITTAL GABINETE ACERO INOX AE 300X300X210 C/PLATINA,CR67
136,1003R,QUINZIÑO PLACA ALUMINIO ORO 3 UNIDADES,CR68
137,1003R-T,TAMSA PLACA ALUMINIO DORADO 3 UNIDADES,CR69
138,1004,ESTEVEZ EXTRACTOR DE AIRE CUADRADO ECONOMICO 4-PG,CR70
139,1004600,RITTAL GABINETE ACERO INOX AE 300X380X155 C/PLATINA,CR71
140,1005,TULMEX PINZAS PARA PONCHAR Y CORTAR TEMINALES AILADOS/NO AIS,CR72
141,1005600,RITTAL GABINETE ACERO INOX AE 380X300X210 C/PLATINA,CR73
142,1006500,RITTAL COMPACT ENCLOSURE AE,CR74
143,1006600,RITTAL GABINETE ACERO INOX AE 380X380X210 C/PLATINA,CR75
144,1006745CH,CUTLER BASE 13 TEMINALES,CR76
145,1007600,RITTAL GABINETE ACERO INOX AE 500X500X210 C/PLATINA,CR77
146,1008600,RITTAL GABINETE ACERO INOX AE 600X380X210 C/PLATINA,CR78
147,100CR-T,TAMSA PLACA DE ALUMINIO ORO CIEGA,CR79
148,100FE,BUSSMAN FUSIBLE ESTANDAR 100AMP 690Vca/500Vcd,CR80
149,100LET,BUSS FUSIBLE U.R. 690V 100A 100LET,CR81
150,100LQLED65MVN,TECNOLITE REFLECTOR LED 100W 6500K,CR82
151,1010,TULMEX PINZA MULTIUSOS DE PUNTA,CR83
152,1010000000,WEIDMULLER CLEMA DE TIERRA WPE 2.5,CR84
153,1010100000,WEIDMULLER CLEMA DE TIERRA WPE 4,CR85
154,1010200000,WEIDMULLER CLEMA DE TIERRA WPE 6,CR86
