473460101,WEIDMULLER ETIQUETA P/CLEMA DEK5 FW 101-150 HOR. 50 PZAS,A2D37
473560001,WEIDMULLER DEK 5 FS 1-50 VERTICAL ETIQ P/ CLEMA 50 PZA,A2D38
473560101,WEIDMULLER DEK 5 FS 101-150 VERTICAL ETIQ P/CLEMA 50PZAS,A2D39
048 80,LEGRAND REPARTIDOR BIPOLAR 100 A,A2D40
048 82,LEGRAND REPARTIDOR BIPOLAR 125 A,A2D41
048 84,LEGRAND REPARTIDOR TETRAPOLAR 100 A,A2D42
048 85,LEGRAND REPARTIDOR TETRAPOLAR 40 A,A2D43
048 86,LEGRAND REPARTIDOR TETRAPOLAR 125 A 11 CONEXIONES,A2D44
048 88,LEGRAND REPARTIDOR TETRAPOLAR 125 A 15 CONEXIONES,A2D45
049 734,LEGRAND INTERRUPTOR HORARIO ANALOGICO 1NA 20A 120VAC S/CAJA,A2D46
0502-G,GAMMA CLAVIJA TRIPLE BISAGRA MARFIL,A2D47
518960001,WEIDMULLER ETIQUETA P/CLEMA 50 PZA DEK 6 FW 1-10 HORIZONTAL,A2D48
518960011,WEIDMULLER ETIQUETA P/CLEMA DEK 6 FW 11-20 HORIZONTAL 50PZ,A2D49
713107,ELEXCO DETECTOR DE HUMOS KDH-BAT 9V 999990306,A2D50
072.01.06,FINDER ELECTRODO 6m. s72,A3R1
072.01.15,FINDER SONDA ELECTRODO C/CABLE 15MTS S72,A3R2
72.5,FINDER ELECTRODO 500mm,A3R3
72.501,FINDER EMPALME P/ELECTRODO,A3R4
72.503,FINDER SEPARADOR DE ELECTRODOS,A3R5
72.51,FINDER PORTA ELECTRODO BIPOLAR S72,A3R6
72.53,FINDER PORTAELECTRODOS TRIPOLAR S72,A3R7
7310003,HUBBELL MALLA SUJETADOR I-GRIP ACER GALV .56-.73,A3R8
7310004,HUBBELL MALLA SUJETADOR I-GRIP ACER GALV.73-.85,A3R9
74011247,HUBBELL LIBERADOR DE ESFUERZOS .625-.750 NPT 1/2,A3R10
74011249,HUBBELL LIBERADOR DE ESFUERZO .750-875 NPT 3/4,A3R11
77.55,FINDER DISIPADOR DE CALOR P/77.45 Y 77.55,A3R12
804155,PHOENIX TOMACORRIENTE P/RIEL 15A EO-AB/UT/LED/15,A3R13
93.01,FINDER SEPARADO PLASTICO S38,A3R14
93.08,FINDER PUENTE 8 TERMINALES AZUL,A3R15
093.63.0.024,FINDER PORTAFUSIBLES C/LED 24VDC P/39.31/30/81/80/61/60/91/90,A3R16
093.63.8.230,FINDER PORTAFUSIBLES C/LED 110-240VAC P/39.31/30/81/80/61/60/91,A3R17
95.18,FINDER PUENTE 8 TERMINALES S40,A3R18
09T8LED60MV65C,TECNOLITE TUBO LED 9W 6500K FROST DIM,A3R19
09T8LED60MV65CT,TECNOLITE TUBO LED 9W 6500K CRISTAL TRASPARENTE,A3R20
0PLAC-B,LEVITON CIEN PLACA CIEGA BLANCA 0PLAC-B,A3R21
0PLAC-MAR,LEVITON CIEN PLACA CIEGA MARFIL,A3R22
0RJ11-00M,LEVITON CIEN MODULO TELEFONICO CAT. 3 MARFIL,A3R23
0RJ11-B,LEVITON CIEN TOMA TELEFONICA RJ11 BLANCA,A3R24
0RJ45-BLA,LEVITON CIEN RJ45 CAT. 5 BLANCO,A3R25
10.32.8.120.0000,FINDER FOTOCELDA 16A ALIM 120VAC 1 UMBRAL,A3R26
10.32.8.230.0000,FINDER FOTOCELDA 16A ALIM 230VAC 1 UMBRAL,A3R27
10.41.8.120.0000,FINDER FOTOCELDA 1NA 16A ALIM 120VAC,A3R28
10.41.8.230.0000,FINDER FOTOCELDA 1NA 16A ALIM 230VAC,A3R29
10.42.8.120.0000,FINDER FOTOCELDA 16A ALIM 120VAC 2 UMBRALES,A3R30
10.42.8.230.0000,FINDER FOTOCELDA 16A ALIM 230VAC 2 UMBRALES,A3R31
10.51.8.120.0000,FINDER FOTOCELDA 1 NA 12/25 A (80 A - 5 ms),A3R32
100-C30D10,ALLEN-BRADLEY CONTACTOR MAGNETICO 3P 30AMP 120VAC,A3R33
100-C37D10,ALLEN-BRADLEY CONTACTOR MAGNETICO 3P 37A B-120VAC,A3R34
100-C60D10,ALLEN-BRADLEY CONTACTOR TRIPOLAR 60 AMPS B-120V,A3R35
100-C85D10,ALLEN BRADLEY MCS-C CONTACTOR IEC85A 110V 50HZ-120V,A3R36
100-D95KN11,ALLEN-BRADLEY CONTACTOR 3P 95 AMPS B-120VAC,A3R37
100-DL180,ALLEN-BRADLEY ZAPATAS P-CONTACTOR 100-D140...100-D,A3R38
100-DL420,ALLEN-BRADLEY ZAPTAS P-CONTACTOR 100-D210 ... 100-,A3R39
10000E,SIEMENS TALARI SOPORTE CHASIS PARA PLACA,A3R40
10003E,SIEMENS TALARI APAGADOR SENCILLO MARFIL,A3R41
1001,TULMEX PINZA MULTIUSOS TIPO ELECTRICISTA,A3R42
